A,Z,N,element,species,clean_species,is_platypus,az_order,parity,epsilon,log_hl,exc_keV,transition_energy_keV,correct_deltaJ,correct_lambda,Q_keV,V_coulomb_keV,tracking_bin
231,90,141,Th,beta-,beta-,False,0,eo,-0.1600311221194772,4.963183170816412,,0.0,,,391.4729999999981,,tracked
231,91,140,Pa,stable,stable,False,0,eo,0.8399688778805228,1.5138831856110928,,0.0,,,,,stable
231,92,139,U,beta+,beta+,False,0,eo,1.8399688778805228,5.559763032876794,,0.0,,,-640.3840000000059,,tracked
231,93,138,Np,beta+,beta+,False,0,eo,2.8399688778805228,3.4665710723863543,,0.0,,,795.736000000004,,tracked
231,94,137,Pu,beta+,beta+,False,0,eo,3.8399688778805214,2.712649701627212,,0.0,,,1662.892999999996,,tracked
232,87,145,Fr,beta-,beta-,False,0,oo,-3.5090437229912226,0.7403626894942439,,0.0,,,5575.879000000001,,tracked
232,88,144,Ra,beta-,beta-,False,0,ee,-2.5090437229912226,2.380211241711606,,0.0,,,1342.5319999999992,,tracked
232,89,143,Ac,beta-,beta-,False,0,oo,-1.5090437229912226,2.074816440645175,,0.0,,,3707.7130000000034,,tracked
232,90,142,Th,stable,stable,False,0,ee,-0.5090437229912226,1.146128035678238,,0.0,,,,,stable
232,91,141,Pa,beta-,beta-,False,0,oo,0.4909562770087774,5.057087673684743,,0.0,,,1337.1039999999994,,tracked
232,92,140,U,alpha,alpha,False,0,ee,1.4909562770087774,9.337314271150126,,0.0,,,5413.629999999998,28064.647136178603,tracked
232,93,139,Np,beta+,beta+,False,0,oo,2.4909562770087774,2.94546858513182,,0.0,,,1727.5570000000002,,tracked
232,94,138,Pu,beta+,beta+,False,0,ee,3.4909562770087774,3.3057811512549824,,0.0,,,-20.08299999999917,,tracked
232,95,137,Am,beta+,beta+,False,0,oo,4.490956277008777,1.895422546039408,,0.0,,,4037.086999999999,,tracked
233,87,146,Fr,beta-,beta-,False,0,eo,-3.857907938783072,-0.0457574905606751,,0.0,,,4585.990000000005,,tracked
233,88,145,Ra,beta-,beta-,False,0,eo,-2.857907938783072,1.4771212547196624,,0.0,,,3026.025000000001,,tracked
233,89,144,Ac,beta-,beta-,False,0,eo,-1.857907938783072,2.155336037465062,,0.0,,,2576.394999999997,,tracked
233,90,143,Th,beta-,beta-,False,0,eo,-0.8579079387830717,3.117204986092782,,0.0,,,1242.2319999999963,,tracked
233,91,142,Pa,beta-,beta-,False,0,eo,0.1420920612169283,6.367475195833841,,0.0,,,570.2990000000063,,tracked
233,92,141,U,alpha,alpha,False,0,eo,1.1420920612169283,2.2019157827406968,,0.0,,,4908.677999999997,28032.164535292985,tracked
233,93,140,Np,beta+,beta+,False,0,eo,2.1420920612169283,3.336859820916809,,0.0,,,7.422000000005482,,tracked
233,94,139,Pu,beta+,beta+,False,0,eo,3.1420920612169283,3.0982975364946976,,0.0,,,1081.3070000000002,,tracked
233,95,138,Am,beta+,beta+,False,0,eo,4.142092061216928,2.2833012287035497,,0.0,,,2211.165999999997,,tracked
233,96,137,Cm,alpha,alpha,False,0,eo,5.142092061216928,1.4313637641589874,,0.0,,,7473.499999999997,29278.03851463934,tracked
233,97,136,Bk,alpha,alpha,False,0,eo,6.142092061216928,1.6020599913279625,,0.0,,,8165.670000000003,29589.50700947593,tracked
234,88,146,Ra,beta-,beta-,False,0,ee,-3.206624618020953,1.4771212547196624,,0.0,,,2089.434000000001,,tracked
234,89,145,Ac,beta-,beta-,False,0,oo,-2.206624618020953,1.6532125137753435,,0.0,,,4228.237000000001,,tracked
234,89,145,Ac,beta-,beta-_iso,False,1,oo,-2.206624618020953,2.255272505103306,140.0,,,,4368.237000000001,,tracked
234,90,144,Th,beta-,beta-,False,0,ee,-1.2066246180209532,6.318656910363144,,0.0,,,274.0879999999961,,tracked
234,91,143,Pa,beta-,beta-,False,0,oo,-0.2066246180209532,4.382377303468114,,0.0,,,2193.911,,tracked
234,91,143,Pa,beta-,beta-_iso,False,1,oo,-0.2066246180209532,1.84223468634724,79.0,,,,2272.911,,tracked
234,92,142,U,stable,stable,False,0,ee,0.7933753819790468,2.3900514964589874,,0.0,,,,,stable
234,92,142,U,IT,IT,False,1,ee,0.7933753819790468,-4.474955192963154,1421.257,1421.257,6.0,6.0,1421.257,,tracked
234,93,141,Np,beta+,beta+,False,0,oo,1.7933753819790468,5.579966418965081,,0.0,,,787.8489999999942,,tracked
234,94,140,Pu,beta+,beta+,False,0,ee,2.793375381979047,4.500785172917456,,0.0,,,-626.8179999999998,,tracked
234,95,139,Am,beta+,beta+,False,0,oo,3.793375381979047,2.143639235274544,,0.0,,,3090.016000000003,,tracked
234,96,138,Cm,beta+,beta+,False,0,ee,4.793375381979047,1.7160033436347992,,0.0,,,1238.413,,tracked
234,97,137,Bk,alpha,alpha,False,0,oo,5.793375381979047,1.3010299956639813,,0.0,,,8098.084,29555.398424621188,tracked
235,89,146,Ac,beta-,beta-,False,0,eo,-2.5551946007756072,1.792391689498254,,0.0,,,3339.4060000000027,,tracked
235,90,145,Th,beta-,beta-,False,0,eo,-1.5551946007756072,2.635483746814912,,0.0,,,1728.8530000000028,,tracked
235,91,144,Pa,beta-,beta-,False,0,eo,-0.5551946007756072,3.165541076722373,,0.0,,,1370.1189999999988,,tracked
235,92,143,U,stable,stable,False,0,eo,0.4448053992243928,2.847572659142112,,0.0,,,,,stable
235,92,143,U,IT,IT,False,1,eo,0.4448053992243928,3.188084373714938,0.076737,0.076737,3.0,3.0,0.076737,,tracked
235,92,143,U,SF,SF_iso,False,2,eo,0.4448053992243928,-2.4436974992327127,2500.0,,,,,,tracked
235,93,142,Np,beta+,beta+,False,0,eo,1.4448053992243928,7.534318584883186,,0.0,,,-897.7359999999976,,tracked
235,94,141,Pu,beta+,beta+,False,0,eo,2.4448053992243928,3.1812717715594614,,0.0,,,117.303999999996,,tracked
235,95,140,Am,beta+,beta+,False,0,eo,3.4448053992243928,2.790988475088816,,0.0,,,1420.2580000000012,,tracked
235,96,139,Cm,beta+,beta+,False,0,eo,4.444805399224393,2.6232492903979003,,0.0,,,2366.400000000001,,tracked
236,89,147,Ac,beta-,beta-,False,0,oo,-2.903618718782539,2.431363764158988,,0.0,,,4965.794999999998,,tracked
236,90,146,Th,beta-,beta-,False,0,ee,-1.903618718782539,3.3498600821923312,,0.0,,,921.2479999999996,,tracked
236,91,145,Pa,beta-,beta-,False,0,oo,-0.9036187187825392,2.7371926427047373,,0.0,,,2889.373,,tracked
236,92,144,U,alpha,alpha,False,0,ee,0.0963812812174609,1.3695868907363444,,0.0,,,4572.956000000003,27935.725625584382,tracked
236,92,144,U,IT,IT,False,1,ee,0.0963812812174609,-7.0,1052.5,1052.5,4.0,4.0,1052.5,,ephemeral
236,92,144,U,IT,IT_platypus,True,2,ee,0.0963812812174609,-6.920818753952375,2750.0,1697.5,4.0,4.0,1697.5,,ephemeral
236,93,143,Np,beta+,beta+,False,0,oo,1.096381281217461,2.184691430817599,,0.0,,,-88.48600000000488,,tracked
236,93,143,Np,beta+,beta+_iso,False,1,oo,1.096381281217461,4.9084850188786495,60.0,,,,-28.48600000000488,,tracked
236,94,142,Pu,alpha,alpha,False,0,ee,2.096381281217461,7.955157273697451,,0.0,,,5867.147000000002,28556.519528375145,tracked
236,94,142,Pu,IT,IT,False,1,ee,2.096381281217461,-5.920818753952375,1185.45,1185.45,5.0,5.0,1185.45,,tracked
236,95,141,Am,beta+,beta+,False,0,oo,3.096381281217461,2.3344537511509307,,0.0,,,2117.4939999999983,,tracked
236,95,141,Am,beta+,beta+_iso,False,1,oo,3.096381281217461,2.2405492482826,50.0,,,,2167.4939999999983,,tracked
236,96,140,Cm,beta+,beta+,False,0,ee,4.096381281217461,2.61066016308988,,0.0,,,789.8219999999997,,tracked
236,97,139,Bk,beta+,beta+,False,0,oo,5.096381281217461,1.414973347970818,,0.0,,,4667.182000000001,,tracked
237,90,147,Th,beta-,beta-,False,0,eo,-2.251897795559572,2.459392487759231,,0.0,,,2427.472999999998,,tracked
237,91,146,Pa,beta-,beta-,False,0,eo,-1.2518977955595716,2.717670503002262,,0.0,,,2137.491000000002,,tracked
237,92,145,U,beta-,beta-,False,0,eo,-0.2518977955595716,5.765946176096492,,0.0,,,518.5339999999997,,tracked
237,92,145,U,IT,IT,False,1,eo,-0.2518977955595716,-6.809668301829708,274.0,274.0,3.0,3.0,274.0,,ephemeral
237,93,144,Np,alpha,alpha,False,0,eo,0.7481022044404284,0.3312247810207324,,0.0,,,4957.272999999998,28213.95384299751,tracked
237,93,144,Np,IT,IT,False,1,eo,0.7481022044404284,-6.1487416512809245,945.2,945.2,4.0,4.0,945.2,,ephemeral
237,94,143,Pu,beta+,beta+,False,0,eo,1.7481022044404284,6.595859378225071,,0.0,,,-801.9350000000054,,tracked
237,94,143,Pu,IT,IT,False,1,eo,1.7481022044404284,-0.744727494896694,145.543,145.543,3.0,3.0,145.543,,tracked
237,94,143,Pu,SF,SF_iso,False,2,eo,1.7481022044404284,-5.958607314841775,2900.0,,,,,,suspect
237,95,142,Am,beta+,beta+,False,0,eo,2.7481022044404284,3.6450290647211423,,0.0,,,456.3400000000033,,tracked
237,98,139,Cf,alpha,alpha,False,0,eo,5.748102204440428,-0.0969100130080563,,0.0,,,8219.999,29764.17108711826,tracked
238,90,148,Th,beta-,beta-,False,0,ee,-2.600032646522408,2.751279103983342,,0.0,,,1630.9570000000022,,tracked
238,91,147,Pa,beta-,beta-,False,0,oo,-1.6000326465224075,2.1360860973840974,,0.0,,,3586.3109999999942,,tracked
238,92,146,U,stable,stable,False,0,ee,-0.6000326465224077,0.6496268868405295,,0.0,,,,,stable
238,92,146,U,IT,IT,False,1,ee,-0.6000326465224077,-6.552841968657781,2557.9,2557.9,0.0,,2557.9,,ephemeral
238,93,145,Np,beta-,beta-,False,0,oo,0.3999673534775922,5.258526181061294,,0.0,,,1291.4490000000003,,tracked
