snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate
1248489,102,8.102310022162884,2.9523651445562513,44.087558418794345,3.0247547412174782,56494.660026928665,0.1,1.5,401.06434609706275,True,True,True,True,True
1327859,47,3.8778094922938577,7.443085258152795,47.882289283504946,3.62567198443697,56875.306,0.1,1.5,85.31180883046487,True,True,True,True,True
1347379,115,3.4367432864709264,1.1829109681203207,44.21051948306868,3.852584037120778,57377.95870573813,0.1,1.5,192.4576240423719,True,True,True,True,True
1536062,89,3.6831588295282693,2.018492008454771,46.27813847718737,3.5844594199124273,57655.11803195971,0.1,1.5,158.37582966971559,True,True,True,True,True
1292261,104,4.472935060466921,1.1951147827553394,54.01574975026873,8.252415952364736,56947.171462679784,0.1,1.5,225.88322055357952,True,True,True,True,True
1333328,218,3.871339930813097,2.869179187759985,40.837665221094475,0.6510026138747982,57345.58653586553,0.1,1.5,416.1690425624079,True,True,True,True,True
1252199,102,6.665931307234298,2.4630330916727243,46.11685790408546,3.727839420750435,56522.35109821961,0.1,1.5,329.9635997080978,True,True,True,True,True
1256597,104,7.663020154913529,6.206996373045915,42.627861020283355,2.0745204966944115,56495.733949467125,0.1,1.5,386.9825178231332,True,True,True,True,True
1485065,95,4.1054459054389545,7.129856250151045,9.471239101416081,-30.0,57832.078,0.1,1.5,188.85051165019192,True,True,True,True,True
1407084,109,4.804725961613517,3.709100031422218,42.33053961427614,2.1252337401629333,57584.33843193009,0.1,1.5,254.65047596551642,True,True,True,True,True
1890102,86,3.879901623420389,1.0623419885913379,42.50277121817429,1.6022051897002285,58004.97636633429,0.1,1.5,161.01591737194613,True,True,True,True,True
1258529,76,4.1402509463042465,1.3628008515321932,46.55729456163637,3.514144101362362,56582.240792724195,0.1,1.5,151.119159540105,True,True,True,True,True
