# redshift distance_modulus sigma_mu
0.470000 42.13455949 0.122408
0.620000 43.00925260 0.125104
0.521000 42.18012945 0.111742
0.369000 41.63402302 0.136534
0.571000 42.39916207 0.097011
0.604000 42.52697648 0.120218
0.927100 43.94049787 0.155359
0.285000 40.85424347 0.133276
0.291200 40.83906428 0.138084
0.548000 42.29629856 0.095402
0.868000 43.49328741 0.104627
0.496000 42.21467603 0.153848
0.811000 43.40453602 0.160407
0.756000 43.81399219 0.127634
0.817000 43.65156374 0.197132
0.752000 43.30182988 0.153562
0.551600 42.30318373 0.152170
0.357800 41.43490959 0.122965
1.010000 44.01247454 0.216299
0.741000 43.71725229 0.202736
0.430000 41.81092080 0.115841
0.526000 42.40021068 0.146719
0.592000 42.57732276 0.139550
0.905000 43.63874001 0.192835
0.949000 43.44490985 0.122709
0.460700 42.07166655 0.138957
0.370900 41.66920440 0.147128
0.800000 43.71406011 0.097454
0.679000 43.45740634 0.095197
0.581700 42.67204061 0.080000
0.550000 42.27564705 0.116477
0.810000 43.36989249 0.171987
0.950000 43.97660751 0.197761
0.337300 41.29449095 0.122975
0.910000 44.30551642 0.200798
0.263000 40.63467212 0.087398
0.643000 43.01126699 0.081909
0.691000 43.08876693 0.123487
0.357000 41.42552796 0.130639
0.721000 43.17567838 0.149034
0.581000 42.74232334 0.080000
0.626800 42.75861262 0.121814
0.818000 43.39289417 0.111208
0.462700 42.04228500 0.138578
0.449000 42.02306835 0.131033
0.688000 43.05398603 0.101368
0.870000 44.23130420 0.135446
0.504300 42.33820070 0.096644
0.591000 43.20910597 0.122036
0.426000 41.76157748 0.145157
0.329000 41.34025673 0.097244
0.583000 42.40112537 0.135939
0.519000 43.07150971 0.109753
0.401000 41.69542447 0.102371
0.205000 39.90376943 0.117859
0.340000 41.21317877 0.096104
0.436000 41.88001620 0.108459
0.363000 41.55197569 0.092289
0.436000 41.92576930 0.169889
0.309000 41.17379571 0.121844
0.342000 41.38459818 0.104249
0.159000 39.41636410 0.125410
0.332000 41.25547830 0.118421
0.469000 42.35448121 0.116866
0.239000 40.25912878 0.135406
0.352000 41.42377935 0.139658
0.612000 42.81394094 0.110701
0.631000 42.37738312 0.109789
0.645000 42.81697317 0.117423
0.429000 41.89003881 0.080000
0.497000 42.07577382 0.085410
0.539000 42.22666321 0.156611
0.561000 42.87195040 0.163778
0.410000 41.34749333 0.115675
0.412000 41.42371219 0.135795
0.599000 42.74346490 0.131380
0.619000 43.05601864 0.200238
0.422000 41.72830946 0.149123
0.540000 42.51116352 0.119853
0.401000 42.55462036 0.098413
0.218000 40.07540742 0.081781
0.633000 42.20167248 0.129154
0.383000 41.64203390 0.103136
0.302000 41.31079828 0.086543
0.340000 41.08004325 0.105525
0.510000 41.88068537 0.096143
0.421000 42.13603163 0.162942
0.399000 41.48808176 0.143097
0.493000 42.14691467 0.122310
0.687000 42.99638508 0.161765
0.687000 42.83483512 0.126751
0.495000 42.24866337 0.101420
0.603000 42.64620471 0.161421
0.421000 42.17962775 0.134964
0.348000 41.58962620 0.096101
0.213000 40.10904120 0.115886
0.344000 41.17287112 0.099997
0.271000 40.53230207 0.087364
0.564000 42.37289175 0.146103
0.274000 40.72465065 0.166903
0.181000 39.68288852 0.086680
0.582000 43.16391026 0.137381
0.680000 42.90403446 0.108494
0.401000 41.93563231 0.109810
0.416000 41.55753695 0.107360
0.286000 41.21113084 0.099967
0.562000 43.05052259 0.124442
0.266000 40.39070739 0.100670
0.314000 41.23196804 0.127569
0.581000 43.66867977 0.122226
0.463000 41.94775375 0.116372
0.341000 40.99151386 0.099205
0.631000 42.88182529 0.109765
0.522000 42.67733035 0.141359
0.368000 41.46769524 0.133565
0.309000 40.86077465 0.097336
0.528000 42.36969184 0.125311
0.216000 40.40490894 0.138591
0.284000 40.83538258 0.080492
0.508000 42.19427073 0.135988
0.781000 43.43722955 0.130311
0.613000 42.61670959 0.137986
0.278000 40.56624057 0.102362
0.477000 42.05433516 0.080000
0.950000 43.63831761 0.102569
1.057000 44.15063010 0.155673
0.816000 43.69108288 0.158263
0.455000 42.32393227 0.100047
1.020000 44.36292470 0.172964
1.140000 44.32295709 0.104374
0.854000 43.60846429 0.148796
1.370000 45.04971335 0.124493
0.975000 44.33372550 0.132619
0.970000 44.46260170 0.153855
0.740000 43.28754670 0.124232
1.390000 44.87623434 0.152410
0.460000 42.14844961 0.146775
1.020000 44.16406553 0.135679
1.120000 44.51440549 0.181804
1.230000 45.02067572 0.123143
1.190000 44.36283166 0.174521
0.839000 43.39806572 0.194075
1.010000 44.91213783 0.080000
0.521000 42.37824456 0.103224
0.475000 42.10488140 0.136446
0.950000 43.88415029 0.145894
1.300000 45.01625810 0.173547
1.305000 44.74016933 0.142203
0.216000 40.55604660 0.122572
0.735000 43.09184035 0.145369
1.140000 44.19695213 0.192830
1.307000 45.41074411 0.170050
1.265000 44.94411084 0.171111
0.670000 43.14320955 0.114325
0.640000 42.92427543 0.112082
1.340000 45.06750558 0.148974
0.840000 43.51430438 0.162537
0.935000 43.54019724 0.139046
0.953000 44.27362023 0.160935
1.124000 44.56751918 0.220579
0.552000 42.51093428 0.144586
0.671000 42.98200700 0.116477
0.511000 42.37366047 0.152165
1.030000 44.24009336 0.141052
1.192000 44.45875160 0.093514
1.092000 44.00784772 0.123779
0.974000 43.83414326 0.095430
1.110000 44.62533585 0.144570
1.350000 44.82706548 0.164080
0.850000 43.49425735 0.201292
1.241000 44.58170296 0.169884
1.414000 44.80376614 0.158847
1.188000 44.60764255 0.183904
1.017000 44.29397077 0.085514
1.315000 44.97135777 0.169757
0.821000 43.64093879 0.173688
1.215000 45.24652095 0.111695
0.623000 42.51452400 0.152337
