ell,C_TT,C_TE,C_EE
230,2.084830744354137e-09,-7.469978934995228e-10,5.212076860885343e-10
231,2.057627502119561e-09,-7.439584480949407e-10,5.144068755298903e-10
232,2.03092090032354e-09,-7.408379473165344e-10,5.07730225080885e-10
233,2.004707407860119e-09,-7.376425563918037e-10,5.011768519650297e-10
234,1.9789834649900608e-09,-7.343783059525337e-10,4.947458662475152e-10
235,1.9537454862949614e-09,-7.310510919608018e-10,4.884363715737404e-10
236,1.9289898636232547e-09,-7.276666757583502e-10,4.822474659058137e-10
237,1.9047129690266536e-09,-7.242306842360567e-10,4.761782422566634e-10
238,1.880911157685595e-09,-7.207486101201572e-10,4.702277894213988e-10
239,1.8575807708222498e-09,-7.172258123717741e-10,4.6439519270556245e-10
240,1.834718138599679e-09,-7.136675166962053e-10,4.5867953464991975e-10
241,1.8123195830057167e-09,-7.10078816158362e-10,4.5307989575142917e-10
242,1.7903814207201772e-09,-7.06464671900653e-10,4.475953551800443e-10
243,1.7688999659639956e-09,-7.028299139595432e-10,4.422249914909989e-10
244,1.747871533328902e-09,-6.991792421769463e-10,4.369678833322255e-10
245,1.7272924405862757e-09,-6.95517227202547e-10,4.318231101465689e-10
246,1.7071590114737993e-09,-6.918483115830899e-10,4.2678975286844984e-10
247,1.687467578458579e-09,-6.881768109346274e-10,4.2186689461464476e-10
248,1.6682144854753828e-09,-6.845069151936553e-10,4.170536213688457e-10
249,1.6493960906386805e-09,-6.80842689943039e-10,4.123490226596701e-10
250,1.631008768927176e-09,-6.771880778085924e-10,4.07752192231794e-10
251,1.6130489148395383e-09,-6.735468999221339e-10,4.0326222870988457e-10
252,1.5955129450200509e-09,-6.699228574468274e-10,3.988782362550127e-10
253,1.5783973008529204e-09,-6.663195331605919e-10,3.945993252132301e-10
254,1.5616984510239973e-09,-6.627403930933448e-10,3.904246127559993e-10
255,1.5454128940486758e-09,-6.591887882138463e-10,3.8635322351216896e-10
256,1.529537160764771e-09,-6.556679561618956e-10,3.8238429019119273e-10
257,1.5140678167891673e-09,-6.521810230216339e-10,3.785169541972918e-10
258,1.4990014649370748e-09,-6.487310051317299e-10,3.747503662342687e-10
259,1.48433474760273e-09,-6.453208109282093e-10,3.710836869006825e-10
260,1.4700643491004088e-09,-6.419532428157352e-10,3.675160872751022e-10
261,1.4561869979646323e-09,-6.386309990631488e-10,3.640467494911581e-10
262,1.4426994692084745e-09,-6.353566757191152e-10,3.606748673021186e-10
263,1.429598586538891e-09,-6.321327685437568e-10,3.5739964663472277e-10
264,1.4168812245280229e-09,-6.289616749521828e-10,3.542203061320057e-10
265,1.4045443107394361e-09,-6.258456959658781e-10,3.5113607768485904e-10
266,1.3925848278082968e-09,-6.227870381679565e-10,3.481462069520742e-10
267,1.3809998154744892e-09,-6.197878156583357e-10,3.452499538686223e-10
268,1.369786372567717e-09,-6.168500520049538e-10,3.4244659314192923e-10
269,1.3589416589436496e-09,-6.139756821872025e-10,3.397354147359124e-10
270,1.3484628973701951e-09,-6.111665545278257e-10,3.371157243425488e-10
271,1.3383473753630134e-09,-6.084244326095973e-10,3.3458684384075335e-10
272,1.3285924469694032e-09,-6.057509971731739e-10,3.321481117423508e-10
273,1.319195534499719e-09,-6.031478479925912e-10,3.2979888362492973e-10
