source,snid,ra,dec,z_helio,band,mjd,mag,mag_err,flux_nu_jy,flux_nu_jy_err,zp,zpsys,wavelength_eff_nm
osc,SN2011fe,,,,u,55853.3088,13.385,0.031,0.016070383800486965,0.0004588424846034092,,AB,355.1
osc,SN2011fe,,,,b,55853.3099,12.983,0.03,0.02327160028977178,0.0006430180790081331,,AB,438.0
osc,SN2011fe,,,,b,55853.3107,13.009,0.029,0.022720937597399703,0.000606875949643198,,AB,438.0
osc,SN2011fe,,,,v,55853.3119,11.963,0.03,0.05954238806711959,0.0016452169819753935,,AB,545.0
osc,SN2011fe,,,,v,55853.314,11.951,0.029,0.06020412501720477,0.0016080514012958413,,AB,545.0
osc,SN2011fe,,,,uvw1,55853.71,14.753,0.054,0.004558545027157998,0.00022672305702596475,,AB,550.0
osc,SN2011fe,,,,u,55853.712,13.407,0.031,0.01574803056070103,0.0004496386371222523,,AB,355.1
osc,SN2011fe,,,,b,55853.713,13.07,0.029,0.021479602936911427,0.0005737199169011753,,AB,438.0
osc,SN2011fe,,,,uvw2,55853.7159,15.979,0.078,0.0014737582488174238,0.00010587575776140512,,AB,550.0
osc,SN2011fe,,,,v,55853.7188,12.021,0.029,0.056445100276347034,0.0015076478990389015,,AB,545.0
osc,SN2011fe,,,,uvm2,55853.7232,16.335,0.073,0.0010617597283949134,7.13879299899512e-05,,AB,550.0
osc,SN2011fe,,,,uvw1,55854.79,14.871,0.061,0.0040890860410224585,0.00022973743291349182,,AB,550.0
osc,SN2011fe,,,,u,55854.7913,13.392,0.031,0.015967107488423966,0.000455893733645375,,AB,355.1
osc,SN2011fe,,,,b,55854.792,13.079,0.029,0.02130228785305577,0.0005689838333025266,,AB,438.0
osc,SN2011fe,,,,uvw2,55854.7929,16.031,0.102,0.0014048380090396998,0.0001319781695535989,,AB,550.0
osc,SN2011fe,,,,uvw1,55854.854,14.871,0.062,0.0040890860410224585,0.00023350362033830316,,AB,550.0
osc,SN2011fe,,,,u,55854.8552,13.43,0.032,0.015417936366890624,0.0004544142136721041,,AB,355.1
osc,SN2011fe,,,,b,55854.8558,13.101,0.029,0.020874988692716007,0.0005575706782510989,,AB,438.0
osc,SN2011fe,,,,v,55854.8593,12.027,0.029,0.05613403342593009,0.001499339307483643,,AB,545.0
osc,SN2011fe,,,,uvm2,55854.86,16.06,0.133,0.0013678114941105745,0.00016755352535861387,,AB,550.0
osc,SN2011fe,,,,g,55855.094,12.400548,,0.039793033627837274,,,AB,468.6
osc,SN2011fe,,,,uvw1,55855.5813,14.935,0.062,0.003855016568188567,0.0002201372913422703,,AB,550.0
osc,SN2011fe,,,,u,55855.5826,13.445,0.032,0.01520639434943161,0.0004481794169240336,,AB,355.1
osc,SN2011fe,,,,b,55855.5833,13.143,0.029,0.020082891822280655,0.0005364137810766676,,AB,438.0
osc,SN2011fe,,,,uvw2,55855.5853,16.04,0.082,0.001393241008382463,0.00010522423604066204,,AB,550.0
osc,SN2011fe,,,,v,55855.5873,12.064,0.029,0.05425331115343725,0.0014491052398866778,,AB,545.0
osc,SN2011fe,,,,uvm2,55855.5903,16.353,0.078,0.0010443023346401634,7.502336363562518e-05,,AB,550.0
osc,SN2011fe,,,,uvw1,55855.6514,14.904,0.061,0.003966671619266476,0.00022285981411954324,,AB,550.0
osc,SN2011fe,,,,u,55855.6527,13.437,0.032,0.015318853007876712,0.00045149392099461024,,AB,355.1
osc,SN2011fe,,,,b,55855.6534,13.131,0.029,0.020306087297215055,0.0005423753293281964,,AB,438.0
osc,SN2011fe,,,,uvw2,55855.6554,16.108,0.083,0.0013086582546250375,0.00010004146003225085,,AB,550.0
osc,SN2011fe,,,,v,55855.6574,12.049,0.029,0.05500804989238483,0.0014692643018517856,,AB,545.0
osc,SN2011fe,,,,uvm2,55855.6605,16.38,0.078,0.0010186529539402682,7.318069532832903e-05,,AB,550.0
osc,SN2011fe,,,,b,55855.72,13.13,0.03,0.02032479851028742,0.0005615949368147449,,AB,438.0
osc,SN2011fe,,,,i,55855.72,11.5,0.03,0.09120659632811275,0.002520131389054055,,AB,763.0
osc,SN2011fe,,,,r,55855.72,11.78,0.02,0.07047356621539382,0.001298171064141557,,AB,623.0
osc,SN2011fe,,,,u,55855.72,13.09,0.04,0.02108755600019881,0.0007768942734997588,,AB,355.1
osc,SN2011fe,,,,v,55855.72,12.05,0.03,0.05495740893071868,0.0015185293266414084,,AB,545.0
osc,SN2011fe,,,,b,55855.73,13.16,0.02,0.0197708913247083,0.0003641932771158291,,AB,438.0
osc,SN2011fe,,,,i,55855.73,11.51,0.03,0.09037040922683359,0.0024970266856017436,,AB,763.0
osc,SN2011fe,,,,r,55855.73,11.79,0.03,0.06982746067672782,0.0019294040404303368,,AB,623.0
osc,SN2011fe,,,,v,55855.73,12.06,0.02,0.054453556377091095,0.0010030715773952066,,AB,545.0
osc,SN2011fe,,,,uvw1,55856.3842,14.911,0.062,0.003941179806433083,0.00022505756640332902,,AB,550.0
osc,SN2011fe,,,,u,55856.3854,13.499,0.032,0.014468591292852401,0.000426434081632581,,AB,355.1
osc,SN2011fe,,,,b,55856.3861,13.125,0.029,0.020418613517661575,0.0005453809032223416,,AB,438.0
osc,SN2011fe,,,,uvw2,55856.388,16.118,0.084,0.0012966604036301046,0.00010031854278009723,,AB,550.0
osc,SN2011fe,,,,v,55856.3898,12.091,0.029,0.052920781496224534,0.0014135133899605007,,AB,545.0
osc,SN2011fe,,,,uvm2,55856.3927,16.4,0.08,0.0010000604421820892,7.36871765203684e-05,,AB,550.0
osc,SN2011fe,,,,uvw1,55856.4512,14.908,0.062,0.0039520847474731865,0.0002256802833593663,,AB,550.0
osc,SN2011fe,,,,u,55856.4524,13.522,0.032,0.014165315403211651,0.0004174956042879244,,AB,355.1
osc,SN2011fe,,,,b,55856.453,13.15,0.029,0.019953829129770315,0.00053296651822737,,AB,438.0
osc,SN2011fe,,,,uvw2,55856.4548,16.094,0.084,0.0013256419805712117,0.0001025607563605086,,AB,550.0
osc,SN2011fe,,,,v,55856.4565,12.13,0.029,0.051053585601157137,0.001363640611729791,,AB,545.0
osc,SN2011fe,,,,uvm2,55856.4593,16.402,0.08,0.0009982199584376813,7.355156466648772e-05,,AB,550.0
osc,SN2011fe,,,,b,55857.4,13.18,0.05,0.01941003188970403,0.0008938650016754312,,AB,438.0
osc,SN2011fe,,,,i,55857.4,11.42,0.04,0.098180728200792,0.003617111698791101,,AB,763.0
osc,SN2011fe,,,,v,55857.4,12.09,0.04,0.052969545790597865,0.0019514701843215388,,AB,545.0
osc,SN2011fe,,,,uvw1,55857.4537,14.889,0.06,0.004021853518252834,0.00022225583897603118,,AB,550.0
