snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate,z
1274223,84,6.567414783214569,1.0264444747107158,1.5626967794131574,2.215759174324454,56560.57725515488,0.1,1.5,265.98029872019004,True,True,True,False,False,0.5345399975776672
1337139,57,2.7754796179634744,0.9060583956797672,0.6659770760618149,0.4102633718368196,57287.85289857006,0.1,1.5,74.9379496850138,True,True,True,False,False,0.5455600023269653
1246501,70,7.919712949253058,1.3370111946798582,1.8141984559112128,4.255321611720888,57288.94307017963,0.1,1.5,265.31038379997744,True,True,True,False,False,0.9105070233345032
1296241,66,4.50312000779574,4.773262400443278,1.1220556090253009,4.849693140678646,56862.2,0.1,1.5,141.8482802455658,True,True,True,False,False,1.6906689405441284
1296365,87,6.807036660969255,0.9997451386164536,1.6090298313682148,0.0109226307234209,57278.08714222893,0.1,1.5,285.8955397607087,True,True,True,False,False,2.3778998851776123
1345590,103,2.9493423979424773,1.7306481439377543,0.7173649577019083,2.886125597289663,57356.12169957328,0.1,1.5,147.4671198971239,True,True,True,False,False,0.3785299956798553
1287431,194,19.824837235813902,8.662648491515979,3.4525090944111394,6.742794059408709,56565.096,0.1,1.5,1893.271956020228,True,False,True,True,False,0.5729600191116333
1589081,118,3.1864356983293027,4.23557816369686,0.7850590181641901,4.76525588810042,57639.814531708806,0.1,1.5,183.2200526539349,True,True,True,False,False,1.4022279977798462
1279497,71,16.52794968193759,5.78391892710786,3.06545811464558,5.458721652958936,57199.293,0.1,1.5,561.950289185878,True,False,True,True,False,0.8859999775886536
1331799,110,4.162270214939998,3.952659287989386,1.04016426175443,1.5225850706699653,57228.37329155343,0.1,1.5,222.68145649928988,True,True,True,False,False,0.1949499994516372
1933193,73,4.137599002838049,2.267426947582529,1.0341088965043266,3.466682543790718,58050.92330214809,0.1,1.5,144.81596509933172,True,True,True,False,False,0.9360399842262268
1254485,102,4.130489802897558,1.730941914344146,1.0323606478421978,3.1223870721290083,56523.30537378216,0.1,1.5,204.4592452434292,True,True,True,False,False,1.208359956741333
1283045,67,12.080506274453128,7.354389081886471,2.4757022706861886,2.691185786770909,57199.403,0.1,1.5,386.5762007825001,True,False,True,True,False,0.8455430269241333
1710023,99,3.21667049863956,1.5791413020274347,0.7935078752655536,4.011841438380891,57736.20536234636,0.1,1.5,154.40018393469887,True,True,True,False,False,0.6346099972724915
1266064,90,3.840631445925448,2.1216849885784934,0.959752904303358,3.5625933658796924,56630.21326181992,0.1,1.5,167.06746789775693,True,True,True,False,False,0.4241600036621094
1248866,75,8.819012189516688,1.4582274574334328,1.9696821697812523,4.996993324285761,56526.86311898841,0.1,1.5,317.48443882260074,True,True,True,False,False,1.2209099531173706
1289664,101,6.316030711479403,2.694917707173491,1.51317144490371,3.861320284463716,57225.57587068837,0.1,1.5,309.4855048624908,True,True,True,False,False,0.2599999904632568
1306986,114,3.5199513902031754,1.5837582244202602,0.876153349330266,3.396777760432208,57244.15139661912,0.1,1.5,195.35730215627623,True,True,True,False,False,0.4491600096225738
1302418,97,4.726629644050352,2.063636852875743,1.1740813333567703,3.889518061116327,56913.06021701165,0.1,1.5,222.15159327036653,True,True,True,False,False,0.4788500070571899
1646042,111,3.610837238917339,2.678055787350645,0.9002203132577389,3.313374934730384,57685.9818517433,0.1,1.5,194.9852109015363,True,True,True,False,False,0.5974199771881104
1653156,118,4.414177253846006,1.2582796984334137,1.100994348837237,1.5612723281680658,57636.72226012227,0.1,1.5,253.81519209614527,True,True,True,False,False,0.5958700180053711
