snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_ln_A,chi2_per_obs
1262247,0.741269,22.7845,18.4980,42.8679,43.2992,-24.3699,-24.8012,22.445471,-12.06
1335091,0.808094,22.5761,18.9117,42.8745,43.5295,-23.9628,-24.6178,22.070572,-11.47
1274859,1.496375,27.9860,14.3758,42.0335,45.1826,-27.6577,-30.8068,25.473647,-12.41
1265136,1.053030,21.4584,20.7001,42.7300,44.2390,-22.0300,-23.5389,20.290350,-12.04
1780125,0.499543,19.9562,20.7117,42.5894,42.2588,-21.8777,-21.5471,20.150063,-10.75
1320795,0.213806,17.5136,21.5210,41.2029,40.1186,-19.6820,-18.5976,18.127769,-12.42
1291626,0.781436,21.4612,20.0494,42.8747,43.4399,-22.8253,-23.3905,21.022902,-10.77
1297075,0.193461,21.7504,16.7038,41.0046,39.8758,-24.3007,-23.1719,22.381813,-9.31
1770829,0.685111,22.2389,18.9193,42.8425,43.0898,-23.9232,-24.1705,22.034127,-12.24
1898252,0.745712,22.6795,18.6249,42.8691,43.3152,-24.2441,-24.6902,22.329670,-11.99
1342810,0.700933,21.9825,19.2472,42.8517,43.1504,-23.6044,-23.9032,21.740487,-11.14
1336453,0.184917,22.7194,15.5536,40.9137,39.7667,-25.3601,-24.2131,23.357482,-7.78
1339536,0.530508,18.2586,22.6855,42.6537,42.4158,-19.9682,-19.7303,18.391379,-11.81
1457019,0.454030,18.7933,21.7670,42.4744,42.0108,-20.7074,-20.2438,19.072244,-12.08
1330995,0.718269,25.4196,15.5685,42.8598,43.2154,-27.2913,-27.6468,25.136231,-11.21
1283724,0.069632,21.0669,15.2270,38.8448,37.4841,-23.6178,-22.2571,21.752831,-8.53
1909349,0.141274,21.7842,15.9844,40.3591,39.1239,-24.3747,-23.1395,22.449928,-11.08
1892076,0.548807,25.1353,15.2929,42.6869,42.5046,-27.3941,-27.2117,25.230879,-9.64
1251022,0.684278,22.3436,18.8030,42.8420,43.0866,-24.0390,-24.2836,22.140729,-12.30
1385199,0.120109,18.9254,18.7360,40.0169,38.7420,-21.2809,-20.0060,19.600453,-8.60
1313277,0.612125,19.2272,21.9446,42.7778,42.7917,-20.8333,-20.8472,19.188138,-11.68
1257112,0.370008,22.7668,17.0084,42.1833,41.4853,-25.1749,-24.4769,23.186912,-10.26
1872097,0.841319,20.4177,21.3426,42.8693,43.6372,-21.5267,-22.2946,19.826855,-11.44
1833067,0.555772,25.6021,14.8134,42.6987,42.5377,-27.8853,-27.7243,25.683325,-11.46
1249676,0.847890,23.1716,18.3695,42.8677,43.6580,-24.4982,-25.2885,22.563684,-11.17
1291494,0.180059,27.7577,10.0256,40.8598,39.7026,-30.8342,-29.6770,28.399373,0.14
1321315,0.510179,26.0195,14.1744,42.6127,42.3137,-28.4383,-28.1394,26.192648,-11.43
1261191,0.661470,22.0965,18.9977,42.8258,42.9967,-23.8281,-23.9990,21.946481,-12.33
1299503,0.294983,16.4343,23.3917,41.8059,40.9132,-18.4142,-17.5215,16.960102,-11.82
1295627,0.277010,21.6186,17.6264,41.6933,40.7564,-24.0669,-23.1300,22.166453,-12.06
1287212,1.473250,27.5464,14.8193,42.0795,45.1408,-27.2601,-30.3215,25.107496,-11.81
1257931,1.247190,24.6821,17.5674,42.4784,44.6937,-24.9110,-27.1262,22.943852,-12.30
1292316,0.638833,22.8225,18.1338,42.8061,42.9045,-24.6723,-24.7708,22.724002,-11.58
1567044,0.422732,21.9162,18.2212,42.3792,41.8264,-24.1580,-23.6053,22.250328,-12.22
1776146,0.495976,24.2845,15.9968,42.5813,42.2401,-26.5844,-26.2433,24.485182,-10.87
1951084,0.593572,21.1632,19.7758,42.7548,42.7106,-22.9790,-22.9348,21.164451,-10.73
1347008,0.527639,19.1107,21.7485,42.6482,42.4016,-20.8996,-20.6531,19.249264,-11.60
1318659,0.423540,20.5170,19.7445,42.3818,41.8314,-22.6373,-22.0868,20.849713,-11.86
1258309,0.476161,22.6756,17.6551,42.5336,42.1341,-24.8784,-24.4790,22.913860,-12.17
1249662,1.002108,21.3694,20.6891,42.7783,44.1059,-22.0892,-23.4167,20.344884,-12.24
1324544,0.529725,21.4903,19.1736,42.6522,42.4119,-23.4786,-23.2384,21.624602,-12.13
1297532,0.864613,21.9121,19.7794,42.8627,43.7102,-23.0833,-23.9308,21.260486,-12.15
1315259,0.228057,22.1789,16.5958,41.3286,40.2763,-24.7328,-23.6804,22.779712,-9.61
1263787,0.345434,20.0401,19.8196,42.0741,41.3107,-22.2545,-21.4911,20.497126,-11.37
1896244,0.591561,21.2867,19.6344,42.7522,42.7017,-23.1178,-23.0673,21.292281,-12.12
1336783,0.298305,19.5304,20.0545,41.8256,40.9413,-21.7711,-20.8868,20.051950,-11.80
1260954,0.698731,21.9425,19.2838,42.8505,43.1421,-23.5667,-23.8583,21.705731,-12.02
1862234,0.736423,23.7532,17.4320,42.8664,43.2818,-25.4345,-25.8498,23.426034,-12.23
1652139,0.782655,21.1464,20.3945,42.8748,43.4441,-22.4802,-23.0495,20.705061,-12.39
1260556,0.274374,21.9442,17.2522,41.6760,40.7326,-24.4238,-23.4804,22.495109,-11.32
1929063,0.222105,21.1541,17.6511,41.2773,40.2115,-23.6262,-22.5604,21.760536,-8.36
1253954,0.160759,20.0318,18.1677,40.6277,39.4309,-22.4600,-21.2632,20.686461,-12.17
1699114,0.346925,20.7288,19.0813,42.0811,41.3216,-22.9998,-22.2404,21.183616,-11.73
1536058,0.784286,25.6518,15.5073,42.8748,43.4496,-27.3675,-27.9423,25.206416,-10.07
1600036,0.813963,26.8868,14.2471,42.8740,43.5488,-28.6268,-29.3016,26.366262,-11.06
1251500,0.596938,21.2165,19.7302,42.7592,42.7255,-23.0290,-22.9953,21.210523,-11.23
1297229,0.574746,18.4258,22.6779,42.7285,42.6258,-20.0506,-19.9480,18.467315,-11.50
1280790,0.632107,21.2858,19.7793,42.7995,42.8766,-23.0202,-23.0973,21.202354,-12.23
1389177,0.448947,21.5603,18.7382,42.4599,41.9816,-23.7216,-23.2434,21.848436,-12.30
1278555,0.224907,21.3297,17.4876,41.3017,40.2422,-23.8141,-22.7546,21.933564,-11.05
1449078,0.108349,21.2267,16.0136,39.7975,38.5014,-23.7839,-22.4878,21.905808,-6.68
1319539,0.371764,22.7275,17.0614,42.1906,41.4974,-25.1292,-24.4360,23.144861,-11.63
1252521,0.433219,23.6950,16.3431,42.4127,41.8896,-26.0696,-25.5465,24.011000,-11.23
1277809,0.178321,19.7334,18.7168,40.8401,39.6792,-22.1233,-20.9625,20.376337,-11.43
1248161,0.562814,25.3615,15.1020,42.7102,42.5707,-27.6082,-27.4687,25.428059,-6.13
1849277,0.793293,21.3100,20.2462,42.8750,43.4801,-22.6288,-23.2339,20.841915,-12.54
1290029,1.428612,26.3782,16.0209,42.1657,45.0583,-26.1448,-29.0374,24.080288,-12.02
1559147,0.632311,21.4191,19.6352,42.7997,42.8774,-23.1644,-23.2422,21.335232,-12.46
