snid,ra,dec,z,mjd,band,flux_nu_jy,flux_nu_jy_err,wavelength_eff_nm,snr,survey,source_dataset
1248907,7.281386,-43.140999,0.1714,56579.006,z,7.535833481828042e-07,2.236020582775768e-08,926.0,33.701986197609834,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56590.025,g,3.652139341657411e-07,5.20463969817491e-08,472.0,7.017083897158322,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56590.027,r,1.5405848972510528e-06,1.3587937341336468e-07,642.0,11.337886380770767,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56590.029,i,1.3762480948969715e-06,1.60405460626929e-07,784.0,8.579808252898879,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56594.026,g,1.1145299053605699e-07,6.1131557227655795e-09,472.0,18.231662269129288,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56594.028,r,3.408955262461743e-07,9.796301326712128e-09,642.0,34.798391237378056,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56594.03,i,3.210495045547621e-07,1.2415688107103458e-08,784.0,25.85837384003535,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56594.033,z,4.436612651053444e-07,1.9075882375859846e-08,926.0,23.25770605855638,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56602.027,g,9.652510323079771e-08,5.910523899912198e-09,472.0,16.331057088227258,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56602.029,r,2.791920358457708e-07,7.940095630698598e-09,642.0,35.162301416917124,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56602.031,i,2.115052914313345e-07,8.017680250115082e-09,784.0,26.37986111111112,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56602.034,z,2.866900138734147e-07,1.3294184577064602e-08,926.0,21.565069464133828,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56606.041,i,1.2538416261675972e-07,2.716879826849941e-08,784.0,4.61500583785979,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56606.044,z,2.2359038933155362e-07,3.6858683047316466e-08,926.0,6.066152419079236,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56609.04,g,9.868344958561487e-08,1.4229589239514415e-08,472.0,6.935087719298245,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56609.042,r,2.2273783562521876e-07,1.2549910512561538e-08,642.0,17.74816126396077,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56609.044,i,1.9301048122914044e-07,1.1334019304332662e-08,784.0,17.029305848752017,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56609.047,z,2.123682872335248e-07,1.5203193029934574e-08,926.0,13.968663478479739,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56615.081,g,1.1110432279287943e-07,1.6711526390992958e-08,472.0,6.648364739008014,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56615.086,i,1.85979342537005e-07,1.696735054719696e-08,784.0,10.961012564671103,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56615.088,z,2.1964443824218022e-07,2.5562456932353392e-08,926.0,8.592461938358708,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56628.047,g,7.02572845313049e-08,6.192200927906688e-09,472.0,11.34609250398724,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56628.05,r,1.6951033892428163e-07,7.511014876192711e-09,642.0,22.568233683249662,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56628.052,i,9.814841458345583e-08,9.80544054207921e-09,784.0,10.009587449157467,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56628.055,z,8.760044537842031e-08,1.5087632148183442e-08,926.0,5.806109568290837,Pantheon_Plus_DES,Pantheon+SH0ES
