A,Z,N,element,target,sigma
175,69,106,Tm,69,0.1
175,73,102,Ta,73,0.1
175,72,103,Hf,72,0.1
175,71,104,Lu,71,0.1
175,78,97,Pt,78,0.1
175,77,98,Ir,77,0.1
175,76,99,Os,76,0.1
175,75,100,Re,75,0.1
175,74,101,W,74,0.1
175,79,96,Au,79,0.1
175,80,95,Hg,80,0.1
176,69,107,Tm,69,0.1
176,76,100,Os,76,0.1
176,77,99,Ir,77,0.1
176,75,101,Re,75,0.1
176,79,97,Au,79,0.1
176,70,106,Yb,70,0.1
176,80,96,Hg,80,0.1
176,81,95,Tl,81,0.1
176,78,98,Pt,78,0.1
176,71,105,Lu,71,0.1
176,72,104,Hf,72,0.1
176,73,103,Ta,73,0.1
176,74,102,W,74,0.1
177,70,107,Yb,70,0.1
177,72,105,Hf,72,0.1
177,73,104,Ta,73,0.1
177,74,103,W,74,0.1
177,71,106,Lu,71,0.1
177,76,101,Os,76,0.1
177,77,100,Ir,77,0.1
177,78,99,Pt,78,0.1
177,75,102,Re,75,0.1
177,79,98,Au,79,0.1
177,80,97,Hg,80,0.1
177,81,96,Tl,81,0.1
178,77,101,Ir,77,0.1
178,76,102,Os,76,0.1
178,70,108,Yb,70,0.1
178,71,107,Lu,71,0.1
178,78,100,Pt,78,0.1
178,75,103,Re,75,0.1
178,74,104,W,74,0.1
178,72,106,Hf,72,0.1
178,80,98,Hg,80,0.1
178,82,96,Pb,82,0.1
178,79,99,Au,79,0.1
179,82,97,Pb,82,0.1
179,71,108,Lu,71,0.1
179,75,104,Re,75,0.1
179,81,98,Tl,81,0.1
179,72,107,Hf,72,0.1
179,80,99,Hg,80,0.1
179,79,100,Au,79,0.1
179,78,101,Pt,78,0.1
179,74,105,W,74,0.1
179,77,102,Ir,77,0.1
179,73,106,Ta,73,0.1
179,76,103,Os,76,0.1
180,79,101,Au,79,0.1
180,80,100,Hg,80,0.1
180,76,104,Os,76,0.1
180,81,99,Tl,81,0.1
180,82,98,Pb,82,0.1
180,78,102,Pt,78,0.1
180,77,103,Ir,77,0.1
180,71,109,Lu,71,0.1
180,73,107,Ta,73,0.1
180,74,106,W,74,0.1
180,72,108,Hf,72,0.1
180,75,105,Re,75,0.1
181,77,104,Ir,77,0.1
181,76,105,Os,76,0.1
181,78,103,Pt,78,0.1
181,71,110,Lu,71,0.1
181,81,100,Tl,81,0.1
181,74,107,W,74,0.1
181,82,99,Pb,82,0.1
181,73,108,Ta,73,0.1
181,79,102,Au,79,0.1
181,80,101,Hg,80,0.1
181,72,109,Hf,72,0.1
181,75,106,Re,75,0.1
182,82,100,Pb,82,0.1
182,80,102,Hg,80,0.1
182,76,106,Os,76,0.1
182,81,101,Tl,81,0.1
182,77,105,Ir,77,0.1
182,74,108,W,74,0.1
182,72,110,Hf,72,0.1
182,73,109,Ta,73,0.1
182,75,107,Re,75,0.1
182,79,103,Au,79,0.1
182,78,104,Pt,78,0.1
183,76,107,Os,76,0.1
183,71,112,Lu,71,0.1
183,82,101,Pb,82,0.1
183,72,111,Hf,72,0.1
183,73,110,Ta,73,0.1
183,77,106,Ir,77,0.1
183,79,104,Au,79,0.1
183,80,103,Hg,80,0.1
183,81,102,Tl,81,0.1
183,78,105,Pt,78,0.1
183,74,109,W,74,0.1
183,75,108,Re,75,0.1
184,76,108,Os,76,0.1
184,77,107,Ir,77,0.1
184,78,106,Pt,78,0.1
184,81,103,Tl,81,0.1
184,82,102,Pb,82,0.1
184,72,112,Hf,72,0.1
184,79,105,Au,79,0.1
184,80,104,Hg,80,0.1
184,74,110,W,74,0.1
184,75,109,Re,75,0.1
184,73,111,Ta,73,0.1
185,78,107,Pt,78,0.1
185,82,103,Pb,82,0.1
185,72,113,Hf,72,0.1
185,79,106,Au,79,0.1
185,80,105,Hg,80,0.1
185,77,108,Ir,77,0.1
185,76,109,Os,76,0.1
185,81,104,Tl,81,0.1
185,73,112,Ta,73,0.1
185,74,111,W,74,0.1
185,75,110,Re,75,0.1
186,78,108,Pt,78,0.1
186,79,107,Au,79,0.1
186,83,103,Bi,83,0.1
186,80,106,Hg,80,0.1
186,76,110,Os,76,0.1
186,77,109,Ir,77,0.1
186,81,105,Tl,81,0.1
186,84,102,Po,84,0.1
186,73,113,Ta,73,0.1
186,74,112,W,74,0.1
186,82,104,Pb,82,0.1
186,75,111,Re,75,0.1
186,72,114,Hf,72,0.1
187,81,106,Tl,81,0.1
187,79,108,Au,79,0.1
187,80,107,Hg,80,0.1
187,76,111,Os,76,0.1
187,77,110,Ir,77,0.1
187,73,114,Ta,73,0.1
187,74,113,W,74,0.1
187,75,112,Re,75,0.1
187,78,109,Pt,78,0.1
187,83,104,Bi,83,0.1
187,84,103,Po,84,0.1
187,82,105,Pb,82,0.1
188,79,109,Au,79,0.1
188,80,108,Hg,80,0.1
188,81,107,Tl,81,0.1
188,78,110,Pt,78,0.1
188,75,113,Re,75,0.1
188,77,111,Ir,77,0.1
188,76,112,Os,76,0.1
188,82,106,Pb,82,0.1
188,84,104,Po,84,0.1
188,74,114,W,74,0.1
188,83,105,Bi,83,0.1
189,80,109,Hg,80,0.1
189,82,107,Pb,82,0.1
189,83,106,Bi,83,0.1
189,84,105,Po,84,0.1
189,79,110,Au,79,0.1
189,78,111,Pt,78,0.1
189,77,112,Ir,77,0.1
189,76,113,Os,76,0.1
189,75,114,Re,75,0.1
189,81,108,Tl,81,0.1
190,74,116,W,74,0.1
190,75,115,Re,75,0.1
190,76,114,Os,76,0.1
190,79,111,Au,79,0.1
190,81,109,Tl,81,0.1
190,80,110,Hg,80,0.1
190,83,107,Bi,83,0.1
190,82,108,Pb,82,0.1
190,84,106,Po,84,0.1
190,77,113,Ir,77,0.1
190,78,112,Pt,78,0.1
191,77,114,Ir,77,0.1
191,78,113,Pt,78,0.1
191,79,112,Au,79,0.1
191,80,111,Hg,80,0.1
191,76,115,Os,76,0.1
191,81,110,Tl,81,0.1
191,84,107,Po,84,0.1
191,85,106,At,85,0.1
191,74,117,W,74,0.1
191,83,108,Bi,83,0.1
191,82,109,Pb,82,0.1
191,75,116,Re,75,0.1
192,75,117,Re,75,0.1
192,78,114,Pt,78,0.1
192,77,115,Ir,77,0.1
192,76,116,Os,76,0.1
192,81,111,Tl,81,0.1
192,83,109,Bi,83,0.1
192,82,110,Pb,82,0.1
192,85,107,At,85,0.1
192,84,108,Po,84,0.1
192,79,113,Au,79,0.1
192,80,112,Hg,80,0.1
193,76,117,Os,76,0.1
193,86,107,Rn,86,0.1
193,75,118,Re,75,0.1
193,77,116,Ir,77,0.1
193,82,111,Pb,82,0.1
193,80,113,Hg,80,0.1
193,85,108,At,85,0.1
193,84,109,Po,84,0.1
193,79,114,Au,79,0.1
193,83,110,Bi,83,0.1
193,81,112,Tl,81,0.1
193,78,115,Pt,78,0.1
194,84,110,Po,84,0.1
194,76,118,Os,76,0.1
194,86,108,Rn,86,0.1
194,77,117,Ir,77,0.1
194,81,113,Tl,81,0.1
194,83,111,Bi,83,0.1
194,78,116,Pt,78,0.1
194,85,109,At,85,0.1
194,79,115,Au,79,0.1
194,80,114,Hg,80,0.1
194,82,112,Pb,82,0.1
195,84,111,Po,84,0.1
195,77,118,Ir,77,0.1
195,83,112,Bi,83,0.1
195,78,117,Pt,78,0.1
195,81,114,Tl,81,0.1
195,82,113,Pb,82,0.1
195,85,110,At,85,0.1
195,86,109,Rn,86,0.1
195,76,119,Os,76,0.1
195,79,116,Au,79,0.1
195,80,115,Hg,80,0.1
196,83,113,Bi,83,0.1
196,85,111,At,85,0.1
196,80,116,Hg,80,0.1
196,78,118,Pt,78,0.1
196,79,117,Au,79,0.1
196,84,112,Po,84,0.1
196,81,115,Tl,81,0.1
196,86,110,Rn,86,0.1
196,77,119,Ir,77,0.1
196,76,120,Os,76,0.1
196,82,114,Pb,82,0.1
197,80,117,Hg,80,0.1
197,79,118,Au,79,0.1
197,83,114,Bi,83,0.1
197,87,110,Fr,87,0.1
197,86,111,Rn,86,0.1
197,85,112,At,85,0.1
197,84,113,Po,84,0.1
197,77,120,Ir,77,0.1
197,78,119,Pt,78,0.1
197,82,115,Pb,82,0.1
197,81,116,Tl,81,0.1
198,79,119,Au,79,0.1
198,87,111,Fr,87,0.1
198,83,115,Bi,83,0.1
198,80,118,Hg,80,0.1
198,78,120,Pt,78,0.1
198,81,117,Tl,81,0.1
198,85,113,At,85,0.1
198,84,114,Po,84,0.1
198,86,112,Rn,86,0.1
198,82,116,Pb,82,0.1
199,84,115,Po,84,0.1
199,85,114,At,85,0.1
199,87,112,Fr,87,0.1
199,77,122,Ir p,77,0.1
199,86,113,Rn,86,0.1
199,82,117,Pb,82,0.1
199,79,120,Au,79,0.1
199,83,116,Bi,83,0.1
199,80,119,Hg,80,0.1
199,81,118,Tl,81,0.1
199,78,121,Pt,78,0.1
200,80,120,Hg,80,0.1
200,87,113,Fr,87,0.1
200,86,114,Rn,86,0.1
200,83,117,Bi,83,0.1
200,81,119,Tl,81,0.1
200,78,122,Pt,78,0.1
200,79,121,Au,79,0.1
200,85,115,At,85,0.1
200,84,116,Po,84,0.1
200,82,118,Pb,82,0.1
201,81,120,Tl,81,0.1
201,82,119,Pb,82,0.1
201,83,118,Bi,83,0.1
201,84,117,Po,84,0.1
201,85,116,At,85,0.1
201,86,115,Rn,86,0.1
201,87,114,Fr,87,0.1
201,88,113,Ra,88,0.1
201,80,121,Hg,80,0.1
201,79,122,Au,79,0.1
201,78,123,Pt,78,0.1
202,80,122,Hg,80,0.1
202,84,118,Po,84,0.1
202,82,120,Pb,82,0.1
202,81,121,Tl,81,0.1
202,87,115,Fr,87,0.1
202,86,116,Rn,86,0.1
202,78,124,Pt,78,0.1
202,83,119,Bi,83,0.1
202,85,117,At,85,0.1
202,79,123,Au,79,0.1
202,88,114,Ra,88,0.1
203,80,123,Hg,80,0.1
203,83,120,Bi,83,0.1
203,82,121,Pb,82,0.1
203,84,119,Po,84,0.1
203,85,118,At,85,0.1
203,79,124,Au,79,0.1
203,87,116,Fr,87,0.1
203,88,115,Ra,88,0.1
203,81,122,Tl,81,0.1
203,86,117,Rn,86,0.1
204,85,119,At,85,0.1
204,82,122,Pb,82,0.1
204,87,117,Fr,87,0.1
204,86,118,Rn,86,0.1
204,81,123,Tl,81,0.1
204,83,121,Bi,83,0.1
204,84,120,Po,84,0.1
204,80,124,Hg,80,0.1
204,88,116,Ra,88,0.1
205,87,118,Fr,87,0.1
205,88,117,Ra,88,0.1
205,80,125,Hg,80,0.1
205,83,122,Bi,83,0.1
205,82,123,Pb,82,0.1
205,84,121,Po,84,0.1
205,81,124,Tl,81,0.1
205,89,116,Ac,89,0.1
205,86,119,Rn,86,0.1
205,85,120,At,85,0.1
206,80,126,Hg,80,0.1
206,81,125,Tl,81,0.1
206,82,124,Pb,82,0.1
206,89,117,Ac,89,0.1
206,85,121,At,85,0.1
206,86,120,Rn,86,0.1
206,88,118,Ra,88,0.1
206,83,123,Bi,83,0.1
206,84,122,Po,84,0.1
206,87,119,Fr,87,0.1
207,85,122,At,85,0.1
207,84,123,Po,84,0.1
207,80,127,Hg,80,0.1
207,83,124,Bi,83,0.1
207,86,121,Rn,86,0.1
207,88,119,Ra,88,0.1
207,81,126,Tl,81,0.1
207,87,120,Fr,87,0.1
207,89,118,Ac,89,0.1
207,82,125,Pb,82,0.1
208,85,123,At,85,0.1
208,84,124,Po,84,0.1
208,82,126,Pb,82,0.1
208,81,127,Tl,81,0.1
208,87,121,Fr,87,0.1
208,83,125,Bi,83,0.1
208,80,128,Hg,80,0.1
208,90,118,Th,90,0.1
208,88,120,Ra,88,0.1
208,89,119,Ac,89,0.1
208,86,122,Rn,86,0.1
209,85,124,At,85,0.1
209,84,125,Po,84,0.1
209,83,126,Bi,83,0.1
209,87,122,Fr,87,0.1
209,86,123,Rn,86,0.1
209,88,121,Ra,88,0.1
209,82,127,Pb,82,0.1
209,89,120,Ac,89,0.1
209,81,128,Tl,81,0.1
210,88,122,Ra,88,0.1
210,87,123,Fr,87,0.1
210,85,125,At,85,0.1
210,84,126,Po,84,0.1
210,90,120,Th,90,0.1
210,86,124,Rn,86,0.1
210,89,121,Ac,89,0.1
210,81,129,Tl,81,0.1
210,83,127,Bi,83,0.1
210,82,128,Pb,82,0.1
211,82,129,Pb,82,0.1
211,83,128,Bi,83,0.1
211,84,127,Po,84,0.1
211,85,126,At,85,0.1
211,87,124,Fr,87,0.1
211,86,125,Rn,86,0.1
211,91,120,Pa,91,0.1
211,90,121,Th,90,0.1
211,89,122,Ac,89,0.1
211,88,123,Ra,88,0.1
211,81,130,Tl,81,0.1
212,87,125,Fr,87,0.1
212,84,128,Po,84,0.1
212,86,126,Rn,86,0.1
212,83,129,Bi,83,0.1
212,82,130,Pb,82,0.1
212,85,127,At,85,0.1
212,91,121,Pa,91,0.1
212,89,123,Ac,89,0.1
212,88,124,Ra,88,0.1
212,90,122,Th,90,0.1
213,89,124,Ac,89,0.1
213,81,132,Tl,81,0.1
213,85,128,At,85,0.1
213,90,123,Th,90,0.1
213,91,122,Pa,91,0.1
213,86,127,Rn,86,0.1
213,83,130,Bi,83,0.1
213,82,131,Pb,82,0.1
213,87,126,Fr,87,0.1
213,88,125,Ra,88,0.1
213,84,129,Po,84,0.1
214,85,129,At,85,0.1
214,91,123,Pa,91,0.1
214,83,131,Bi,83,0.1
214,84,130,Po,84,0.1
214,90,124,Th,90,0.1
214,86,128,Rn,86,0.1
214,89,125,Ac,89,0.1
214,88,126,Ra,88,0.1
214,87,127,Fr,87,0.1
214,82,132,Pb,82,0.1
215,90,125,Th,90,0.1
215,91,124,Pa,91,0.1
215,89,126,Ac,89,0.1
215,85,130,At,85,0.1
215,88,127,Ra,88,0.1
215,92,123,U,92,0.1
215,86,129,Rn,86,0.1
215,84,131,Po,84,0.1
215,82,133,Pb,82,0.1
215,83,132,Bi,83,0.1
215,87,128,Fr,87,0.1
216,83,133,Bi,83,0.1
216,86,130,Rn,86,0.1
216,85,131,At,85,0.1
216,92,124,U,92,0.1
216,88,128,Ra,88,0.1
216,89,127,Ac,89,0.1
216,90,126,Th,90,0.1
216,87,129,Fr,87,0.1
216,84,132,Po,84,0.1
216,91,125,Pa,91,0.1
217,84,133,Po,84,0.1
217,83,134,Bi,83,0.1
217,90,127,Th,90,0.1
217,91,126,Pa,91,0.1
217,88,129,Ra,88,0.1
217,87,130,Fr,87,0.1
217,86,131,Rn,86,0.1
217,85,132,At,85,0.1
217,89,128,Ac,89,0.1
218,84,134,Po,84,0.1
218,90,128,Th,90,0.1
218,83,135,Bi,83,0.1
218,87,131,Fr,87,0.1
218,86,132,Rn,86,0.1
218,85,133,At,85,0.1
218,91,127,Pa,91,0.1
218,88,130,Ra,88,0.1
218,92,126,U,92,0.1
218,89,129,Ac,89,0.1
219,87,132,Fr,87,0.1
219,84,135,Po,84,0.1
219,91,128,Pa,91,0.1
219,89,130,Ac,89,0.1
219,88,131,Ra,88,0.1
219,86,133,Rn,86,0.1
219,85,134,At,85,0.1
219,90,129,Th,90,0.1
219,92,127,U,92,0.1
219,93,126,Np,93,0.1
220,90,130,Th,90,0.1
220,93,127,Np,93,0.1
220,91,129,Pa,91,0.1
220,86,134,Rn,86,0.1
220,85,135,At,85,0.1
220,89,131,Ac,89,0.1
220,84,136,Po,84,0.1
220,88,132,Ra,88,0.1
220,87,133,Fr,87,0.1
221,92,129,U,92,0.1
221,85,136,At,85,0.1
221,84,137,Po,84,0.1
221,91,130,Pa,91,0.1
221,90,131,Th,90,0.1
221,89,132,Ac,89,0.1
221,88,133,Ra,88,0.1
221,87,134,Fr,87,0.1
221,86,135,Rn,86,0.1
222,91,131,Pa,91,0.1
222,85,137,At,85,0.1
222,84,138,Po,84,0.1
222,86,136,Rn,86,0.1
222,87,135,Fr,87,0.1
222,88,134,Ra,88,0.1
222,89,133,Ac,89,0.1
222,90,132,Th,90,0.1
222,92,130,U,92,0.1
222,93,129,Np,93,0.1
223,85,138,At,85,0.1
223,93,130,Np,93,0.1
223,90,133,Th,90,0.1
223,88,135,Ra,88,0.1
223,87,136,Fr,87,0.1
223,86,137,Rn,86,0.1
223,91,132,Pa,91,0.1
223,92,131,U,92,0.1
223,89,134,Ac,89,0.1
224,93,131,Np,93,0.1
224,85,139,At,85,0.1
224,90,134,Th,90,0.1
224,91,133,Pa,91,0.1
224,92,132,U,92,0.1
224,88,136,Ra,88,0.1
224,89,135,Ac,89,0.1
224,87,137,Fr,87,0.1
224,86,138,Rn,86,0.1
225,93,132,Np,93,0.1
225,92,133,U,92,0.1
225,90,135,Th,90,0.1
225,91,134,Pa,91,0.1
225,86,139,Rn,86,0.1
225,88,137,Ra,88,0.1
225,87,138,Fr,87,0.1
225,89,136,Ac,89,0.1
226,91,135,Pa,91,0.1
226,90,136,Th,90,0.1
226,92,134,U,92,0.1
226,87,139,Fr,87,0.1
226,86,140,Rn,86,0.1
226,93,133,Np,93,0.1
226,88,138,Ra,88,0.1
226,89,137,Ac,89,0.1
227,89,138,Ac,89,0.1
227,90,137,Th,90,0.1
227,91,136,Pa,91,0.1
227,92,135,U,92,0.1
227,86,141,Rn,86,0.1
227,88,139,Ra,88,0.1
227,87,140,Fr,87,0.1
227,93,134,Np,93,0.1
228,90,138,Th,90,0.1
228,91,137,Pa,91,0.1
228,92,136,U,92,0.1
228,94,134,Pu,94,0.1
228,89,139,Ac,89,0.1
228,86,142,Rn,86,0.1
228,88,140,Ra,88,0.1
228,87,141,Fr,87,0.1
229,88,141,Ra,88,0.1
229,87,142,Fr,87,0.1
229,91,138,Pa,91,0.1
229,90,139,Th,90,0.1
229,92,137,U,92,0.1
229,93,136,Np,93,0.1
229,89,140,Ac,89,0.1
229,86,143,Rn,86,0.1
229,95,134,Am,95,0.1
229,94,135,Pu,94,0.1
230,87,143,Fr,87,0.1
230,88,142,Ra,88,0.1
230,91,139,Pa,91,0.1
230,89,141,Ac,89,0.1
230,90,140,Th,90,0.1
230,94,136,Pu,94,0.1
230,92,138,U,92,0.1
230,93,137,Np,93,0.1
231,91,140,Pa,91,0.1
231,90,141,Th,90,0.1
231,87,144,Fr,87,0.1
231,89,142,Ac,89,0.1
231,88,143,Ra,88,0.1
231,92,139,U,92,0.1
231,94,137,Pu,94,0.1
231,93,138,Np,93,0.1
232,89,143,Ac,89,0.1
232,87,145,Fr,87,0.1
232,88,144,Ra,88,0.1
232,94,138,Pu,94,0.1
232,92,140,U,92,0.1
232,91,141,Pa,91,0.1
232,90,142,Th,90,0.1
233,88,145,Ra,88,0.1
233,94,139,Pu,94,0.1
233,96,137,Cm,96,0.1
233,90,143,Th,90,0.1
233,91,142,Pa,91,0.1
233,93,140,Np,93,0.1
233,92,141,U,92,0.1
233,87,146,Fr,87,0.1
233,89,144,Ac,89,0.1
234,91,143,Pa,91,0.1
234,92,142,U,92,0.1
234,94,140,Pu,94,0.1
234,93,141,Np,93,0.1
234,96,138,Cm,96,0.1
234,88,146,Ra,88,0.1
234,90,144,Th,90,0.1
234,89,145,Ac,89,0.1
235,93,142,Np,93,0.1
235,95,140,Am,95,0.1
235,91,144,Pa,91,0.1
235,92,143,U,92,0.1
235,94,141,Pu,94,0.1
235,89,146,Ac,89,0.1
235,90,145,Th,90,0.1
236,90,146,Th,90,0.1
236,96,140,Cm,96,0.1
236,92,144,U,92,0.1
236,93,143,Np,93,0.1
236,94,142,Pu,94,0.1
236,91,145,Pa,91,0.1
236,89,147,Ac,89,0.1
237,92,145,U,92,0.1
237,96,141,Cm,96,0.1
237,94,143,Pu,94,0.1
237,98,139,Cf,98,0.1
237,90,147,Th,90,0.1
237,91,146,Pa,91,0.1
237,93,144,Np,93,0.1
238,95,143,Am,95,0.1
238,96,142,Cm,96,0.1
238,93,145,Np,93,0.1
238,92,146,U,92,0.1
238,91,147,Pa,91,0.1
238,94,144,Pu,94,0.1
239,93,146,Np,93,0.1
239,94,145,Pu,94,0.1
239,95,144,Am,95,0.1
239,96,143,Cm,96,0.1
239,92,147,U,92,0.1
240,93,147,Np,93,0.1
240,95,145,Am,95,0.1
240,92,148,U,92,0.1
240,94,146,Pu,94,0.1
240,96,144,Cm,96,0.1
240,98,142,Cf,98,0.1
241,94,147,Pu,94,0.1
241,96,145,Cm,96,0.1
241,93,148,Np,93,0.1
241,95,146,Am,95,0.1
242,96,146,Cm,96,0.1
242,98,144,Cf,98,0.1
242,95,147,Am,95,0.1
242,93,149,Np,93,0.1
242,94,148,Pu,94,0.1
243,97,146,Bk,97,0.1
243,96,147,Cm,96,0.1
243,94,149,Pu,94,0.1
243,95,148,Am,95,0.1
244,97,147,Bk,97,0.1
244,98,146,Cf,98,0.1
244,94,150,Pu,94,0.1
244,95,149,Am,95,0.1
244,96,148,Cm,96,0.1
245,94,151,Pu,94,0.1
245,95,150,Am,95,0.1
245,98,147,Cf,98,0.1
245,97,148,Bk,97,0.1
245,96,149,Cm,96,0.1
246,94,152,Pu,94,0.1
246,98,148,Cf,98,0.1
246,96,150,Cm,96,0.1
246,99,147,Es,99,0.1
246,100,146,Fm,100,0.1
246,97,149,Bk,97,0.1
247,97,150,Bk,97,0.1
247,96,151,Cm,96,0.1
247,99,148,Es,99,0.1
247,98,149,Cf,98,0.1
248,97,151,Bk,97,0.1
248,100,148,Fm,100,0.1
248,98,150,Cf,98,0.1
248,96,152,Cm,96,0.1
249,97,152,Bk,97,0.1
249,96,153,Cm,96,0.1
249,98,151,Cf,98,0.1
249,100,149,Fm,100,0.1
249,101,148,Md,101,0.1
250,96,154,Cm,96,0.1
250,98,152,Cf,98,0.1
250,100,150,Fm,100,0.1
250,97,153,Bk,97,0.1
250,101,149,Md,101,0.1
251,100,151,Fm,100,0.1
251,98,153,Cf,98,0.1
251,99,152,Es,99,0.1
251,96,155,Cm,96,0.1
251,97,154,Bk,97,0.1
251,101,150,Md,101,0.1
252,102,150,No,102,0.1
252,100,152,Fm,100,0.1
252,98,154,Cf,98,0.1
252,99,153,Es,99,0.1
252,101,151,Md,101,0.1
253,99,154,Es,99,0.1
253,98,155,Cf,98,0.1
253,103,150,Lr,103,0.1
253,102,151,No,102,0.1
253,100,153,Fm,100,0.1
254,103,151,Lr,103,0.1
254,99,155,Es,99,0.1
254,98,156,Cf,98,0.1
254,100,154,Fm,100,0.1
254,102,152,No,102,0.1
255,103,152,Lr,103,0.1
255,102,153,No,102,0.1
255,101,154,Md,101,0.1
255,99,156,Es,99,0.1
255,100,155,Fm,100,0.1
256,103,153,Lr,103,0.1
256,102,154,No,102,0.1
256,100,156,Fm,100,0.1
256,104,152,Rf,104,0.1
257,100,157,Fm,100,0.1
257,101,156,Md,101,0.1
257,105,152,Db,105,0.1
257,102,155,No,102,0.1
257,104,153,Rf,104,0.1
258,104,154,Rf,104,0.1
258,105,153,Db,105,0.1
258,101,157,Md,101,0.1
259,102,157,No,102,0.1
259,105,154,Db,105,0.1
260,106,154,Sg,106,0.1
261,107,154,Bh,107,0.1
261,106,155,Sg,106,0.1
261,104,157,Rf,104,0.1
262,107,155,Bh,107,0.1
262,106,156,Sg,106,0.1
264,108,156,Hs,108,0.1
265,108,157,Hs,108,0.1
266,108,158,Hs,108,0.1
266,109,157,Mt,109,0.1
269,110,159,Ds,110,0.1
270,110,160,Ds,110,0.1
