zCMB,target,sigma
0.64,43.16438069,0.136563
0.497,42.32455309,0.158112
0.44,42.01064753,0.145406
0.355,41.34231158,0.173544
0.78,43.60080717,0.12716
0.54,42.42462127,0.144459
0.86,43.92166067,0.156382
0.468,42.54890374,0.175805
0.84,43.87310319,0.126298
0.96,43.61321161,0.126669
0.8218,43.81536396,0.132453
0.93,43.55242958,0.087292
0.451,41.79667441,0.109261
0.61,42.90496571,0.105017
0.83,44.05065993,0.155091
0.707,43.28242562,0.160254
0.415,41.87677046,0.167477
0.557,42.5570112,0.146606
0.791,43.57688112,0.132937
0.695,43.21170426,0.102482
0.633,43.04986353,0.136313
0.2486,40.61118534,0.088787
0.532,42.56581566,0.167935
0.331,41.07847005,0.14971
0.346,41.36462686,0.109864
0.961,44.26420162,0.100088
0.613,42.99372466,0.157388
0.3402,41.32809153,0.118423
0.983,44.15728437,0.190436
0.71,43.02203881,0.102169
0.73,43.27699552,0.132045
0.47,42.13455949,0.122408
0.62,43.0092526,0.125104
0.521,42.18012945,0.111742
0.369,41.63402302,0.136534
0.571,42.39916207,0.097011
0.604,42.52697648,0.120218
0.9271,43.94049787,0.155359
0.285,40.85424347,0.133276
0.2912,40.83906428,0.138084
0.548,42.29629856,0.095402
0.868,43.49328741,0.104627
0.496,42.21467603,0.153848
0.811,43.40453602,0.160407
0.756,43.81399219,0.127634
0.817,43.65156374,0.197132
0.752,43.30182988,0.153562
0.5516,42.30318373,0.15217
0.3578,41.43490959,0.122965
1.01,44.01247454,0.216299
0.741,43.71725229,0.202736
0.43,41.8109208,0.115841
0.526,42.40021068,0.146719
0.592,42.57732276,0.13955
0.905,43.63874001,0.192835
0.949,43.44490985,0.122709
0.4607,42.07166655,0.138957
0.3709,41.6692044,0.147128
0.8,43.71406011,0.097454
0.679,43.45740634,0.095197
0.5817,42.67204061,0.08
0.55,42.27564705,0.116477
0.81,43.36989249,0.171987
0.95,43.97660751,0.197761
0.3373,41.29449095,0.122975
0.91,44.30551642,0.200798
0.263,40.63467212,0.087398
0.643,43.01126699,0.081909
