A,Z,N,element,binding_energy,sigma
47,22,25,Ti,407.07792750000004,0.0037600000000000003
47,23,24,V,403.3650356,0.00517
47,24,23,Cr,395.1387149000001,0.244259
47,25,22,Mn,382.3596499,1.488537
48,18,30,Ar,395.6959488,0.804816
48,19,29,K,404.84315520000007,0.037104
48,20,28,Ca,416.0011968,0.0008639999999999999
48,21,27,Sc,415.4980656,0.23760000000000003
48,22,26,Ti,418.7045856,0.0035519999999999996
48,23,25,V,413.9072928,0.046656
48,24,24,Cr,411.4682544,0.350928
48,25,23,Mn,397.1612352,0.321552
48,26,22,Fe,385.09081920000006,4.426463999999999
49,19,30,K,410.2414897,0.039249
49,20,29,Ca,421.14765000000006,0.008721999999999999
49,21,28,Sc,425.6277445,0.1111319999999951
49,22,27,Ti,426.8469625,0.003822
49,23,26,V,425.4627615,0.040375999999999995
49,24,25,Cr,422.0506073000001,0.107898
49,25,24,Mn,413.55583500000006,0.10848599999999999
49,26,23,Fe,399.9042929,1.186731
50,19,31,K,414.42916500000007,0.38655
50,20,30,Ca,427.50819499999994,0.07919999999999999
50,21,29,Sc,431.673735,0.12575
50,22,28,Ti,437.786135,0.0041
50,23,27,V,434.79516,0.00465
50,24,26,Cr,435.05093999999997,0.004699999999999999
50,25,25,Mn,426.63411500000007,0.00575
50,26,24,Fe,417.70133999999996,0.41914999999999997
50,27,23,Co,400.031935,6.2876
51,19,32,K,419.28808499999997,0.665091
51,20,31,Ca,432.3225885,0.026622
51,21,30,Sc,438.45828629999994,0.128265
51,22,29,Ti,444.1585512,0.024684
51,23,28,V,445.8463452,0.004947
51,24,27,Cr,444.3116073,0.008517
51,25,26,Mn,440.32177020000006,0.015504
51,26,25,Fe,431.48538269999995,0.071298
51,27,24,Co,417.8559999,2.470338
52,19,33,K,421.98157560000004,1.743768
52,20,32,Ca,438.32786920000007,0.034892
52,21,31,Sc,443.802814,0.159848
52,22,30,Ti,451.9746035999999,0.142844
52,23,29,V,453.157588,0.008268
52,24,28,Cr,456.35171920000005,0.005824
52,25,27,Mn,450.86125239999996,0.0067079999999999996
52,26,26,Fe,447.6996108,0.009307999999999999
52,27,25,Co,432.92915120000004,0.274664
52,28,24,Ni,420.3626804,4.310956
53,19,34,K,425.2109864,5.924286999999995
53,20,33,Ca,441.5206233999999,2.32034
53,21,32,Sc,450.12012250000004,0.9379939999999999
53,22,31,Ti,457.44965679999996,0.153064
53,23,30,V,461.63755249999997,0.164459
53,24,29,Cr,464.29114590000006,0.006148
53,25,28,Mn,462.9115294,0.0183379999999947
53,26,27,Fe,458.38632050000007,0.088457
53,27,26,Co,449.31586340000007,0.091531
53,28,25,Ni,435.5049697,1.3329499999999999
54,20,34,Ca,445.36482179999996,2.6156520000000003
54,21,33,Sc,453.85982099999995,0.7545419999999999
54,22,32,Ti,464.38335179999996,0.8550899999999999
54,23,31,V,467.7554628,0.6037199999999946
54,24,30,Cr,474.01022879999994,0.007128000000000001
54,25,29,Mn,471.8507472,0.0543779999999946
54,26,28,Fe,471.7647684,0.018522
54,27,27,Co,462.7378746,0.0191699999999946
54,28,26,Ni,453.2237712,0.251478
55,20,35,Ca,446.92593,8.811935
55,21,34,Sc,458.3353169999999,3.432605
55,22,33,Ti,468.54332800000003,1.58818
55,23,32,V,475.0536504999999,1.485715
55,24,31,Cr,480.256491,0.01254
55,25,30,Mn,482.07635849999997,0.014299999999999998
55,26,29,Fe,481.06289549999997,0.01694
55,27,28,Co,476.829122,0.022275
55,28,27,Ni,467.35273750000005,0.038775
55,29,26,Cu,452.8698349999999,8.5558
56,20,36,Ca,449.85726239999997,13.979839999999994
56,21,35,Sc,461.08037360000003,14.541239999999998
56,22,34,Ti,474.20517200000006,5.611256
56,23,33,V,480.1832336,9.849503999999994
56,24,32,Cr,488.5026104,0.032367999999999994
56,25,31,Mn,489.3468048000001,0.0164079999999944
56,26,30,Fe,492.25995279999995,0.015008
56,27,29,Co,486.91096159999995,0.0266
56,28,28,Ni,483.99574160000003,0.022344
56,29,27,Cu,467.9354792,0.35812
57,21,36,Sc,465.0154962,10.247346
57,22,35,Ti,477.2553456,11.735102999999993
57,23,34,V,486.50621190000004,4.831662
57,24,33,Cr,493.81378859999995,0.10619100000000001
