A,Z,element,N_neutrons,beta,zeta,c2_over_c1,family,BE_per_A
233,90,Th,143,0.21377533493644793,1.3590399446121892,0.3053933356234971,A,7.602893699999999
233,91,Pa,142,0.19063606135364153,1.316082448558573,0.2723372305052022,A,7.6048675
233,92,U,141,0.17025118531221628,1.27913861828286,0.24321597901745184,A,7.6039574
233,93,Np,140,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.596181599999999
233,94,Pu,139,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.5837968
233,95,Am,138,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.567
233,96,Cm,137,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.546002
233,97,Bk,136,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.519
234,90,Th,144,0.17751211641396317,1.2922029573080285,0.2535887377342331,C,7.5968557
234,91,Pa,143,0.20182764731945055,1.336721305416443,0.28832521045635795,A,7.594683699999999
234,92,U,142,0.1801310043668122,1.2969406118776245,0.25733000623830316,A,7.600716
234,93,Np,141,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.5896382
234,94,Pu,140,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.5846061
234,95,Am,139,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.564
234,96,Cm,138,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.5506868
234,97,Bk,137,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.519
235,90,Th,145,0.1892661915215038,1.3135737411572468,0.27038027360214834,C,7.5843862
235,91,Pa,144,0.20182764731945055,1.336721305416443,0.28832521045635795,A,7.5884139
235,92,U,143,0.1801310043668122,1.2969406118776245,0.25733000623830316,A,7.5909151
235,93,Np,142,0.16094239811912225,1.2625405500423479,0.22991771159874608,A,7.5870571
235,94,Pu,141,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.5788799
235,95,Am,140,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.5651582
235,96,Cm,139,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.547
235,97,Bk,138,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.524
236,90,Th,146,0.1892661915215038,1.3135737411572468,0.27038027360214834,C,7.576968799999999
236,91,Pa,145,0.21377533493644793,1.3590399446121892,0.3053933356234971,A,7.5775573
236,92,U,144,0.19063606135364153,1.316082448558573,0.2723372305052022,A,7.5864854
236,93,Np,143,0.17025118531221628,1.27913861828286,0.24321597901745184,A,7.5792148
236,94,Pu,142,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.5779192
236,95,Am,141,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.561
236,96,Cm,140,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.550309
236,97,Bk,139,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.523
237,90,Th,147,0.1892661915215038,1.3135737411572468,0.27038027360214834,C,7.5634433
237,91,Pa,146,0.17751211641396317,1.2922029573080285,0.2535887377342331,C,7.5703847
237,92,U,145,0.20182764731945055,1.336721305416443,0.28832521045635795,A,7.5761026
237,93,Np,144,0.1801310043668122,1.2969406118776245,0.25733000623830316,A,7.5749895
237,94,Pu,143,0.16094239811912225,1.2625405500423479,0.22991771159874608,A,7.5707599
237,95,Am,142,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.561
237,96,Cm,141,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.5466241
237,97,Bk,140,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.527
237,98,Cf,139,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.5033507
238,90,Th,148,0.20214279664605744,1.3373062047457753,0.2887754237800821,C,7.555
238,91,Pa,147,0.1892661915215038,1.3135737411572468,0.27038027360214834,C,7.5583449
238,92,U,146,0.20182764731945055,1.336721305416443,0.28832521045635795,A,7.5701262
238,93,Np,145,0.1801310043668122,1.2969406118776245,0.25733000623830316,A,7.566222
238,94,Pu,144,0.16094239811912225,1.2625405500423479,0.22991771159874608,A,7.5683611
238,95,Am,143,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.5555853
238,96,Cm,142,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.5479966
238,97,Bk,141,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.525
238,98,Cf,140,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.509
239,90,Th,149,0.20214279664605744,1.3373062047457753,0.2887754237800821,C,7.54
239,91,Pa,148,0.1892661915215038,1.3135737411572468,0.27038027360214834,C,7.55
239,92,U,147,0.21377533493644793,1.3590399446121892,0.3053933356234971,A,7.5585624
239,93,Np,146,0.19063606135364153,1.316082448558573,0.2723372305052022,A,7.560568
239,94,Pu,145,0.17025118531221628,1.27913861828286,0.24321597901745184,A,7.5603187
239,95,Am,144,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.5536891
239,96,Cm,143,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.543065899999999
239,97,Bk,142,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.527
239,98,Cf,141,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.507
239,99,Es,140,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.481
240,91,Pa,149,0.20214279664605744,1.3373062047457753,0.2887754237800821,C,7.537
240,92,U,148,0.1892661915215038,1.3135737411572468,0.27038027360214834,C,7.5517705
240,93,Np,147,0.20182764731945055,1.336721305416443,0.28832521045635795,A,7.5501743
240,94,Pu,146,0.1801310043668122,1.2969406118776245,0.25733000623830316,A,7.556043300000001
240,95,Am,145,0.16094239811912225,1.2625405500423479,0.22991771159874608,A,7.5470136
240,96,Cm,144,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.5428617
240,97,Bk,143,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.523
240,98,Cf,142,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.51024
240,99,Es,141,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.481
241,91,Pa,150,0.20214279664605744,1.3373062047457753,0.2887754237800821,C,7.528
241,92,U,149,0.1892661915215038,1.3135737411572468,0.27038027360214834,C,7.539
241,93,Np,148,0.21377533493644793,1.3590399446121892,0.3053933356234971,A,7.5440426
241,94,Pu,147,0.1801310043668122,1.2969406118776245,0.25733000623830316,A,7.5464395
241,95,Am,146,0.16094239811912225,1.2625405500423479,0.22991771159874608,A,7.5432795
241,96,Cm,145,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.5368488
241,97,Bk,144,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.524
