snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_alpha,chi2_per_obs
1317286,0.281976,22.2406,20.3421,43.2897,40.8007,-22.9476,-20.4586,21.135563,26.96
1291080,0.443835,25.0666,18.2589,43.6011,41.9521,-25.3423,-23.6932,23.341079,2.06
1257905,0.613931,22.8118,21.4115,43.5813,42.7995,-22.1698,-21.3880,20.419122,1.15
1273541,0.874315,26.6928,17.9655,43.1892,43.7401,-25.2237,-25.7746,23.231855,3.07
1520020,0.354187,20.8933,22.3001,43.4854,41.3742,-21.1853,-19.0741,19.512384,1.07
1530170,0.583384,20.9069,23.3689,43.6023,42.6650,-20.2334,-19.2962,18.635635,0.63
1289600,0.419615,22.5119,20.9107,43.5808,41.8074,-22.6700,-20.8967,20.879878,2.10
1368188,0.240027,21.7902,20.4814,43.1139,40.4018,-22.6325,-19.9204,20.845304,12.09
1257926,0.135270,18.3876,22.9304,42.3065,39.0213,-19.3761,-16.0909,17.846009,1.61
1286558,0.306141,16.8069,26.4202,43.3681,41.0063,-16.9479,-14.5860,15.609619,2.11
1312274,0.424497,22.8520,20.5666,43.5855,41.8372,-23.0188,-21.2705,21.201109,0.87
1933193,0.935311,22.1334,23.0623,43.0540,43.9208,-19.9917,-20.8586,18.413044,2.12
1776250,0.235610,19.3383,23.1031,43.0919,40.3562,-19.9888,-17.2531,18.410359,2.10
1249597,0.083360,19.6538,20.5044,41.4765,37.8955,-20.9720,-17.3910,19.315961,8.26
1302572,0.587403,22.4908,21.6641,43.5999,42.6831,-21.9358,-21.0190,20.203601,0.90
1327146,0.524177,22.4577,21.4528,43.6231,42.3844,-22.1703,-20.9316,20.419627,1.21
1264035,0.233143,21.7117,20.5034,43.0793,40.3303,-22.5759,-19.8269,20.793138,2.11
1702068,0.680764,27.3722,16.6844,43.5143,43.0729,-26.8299,-26.3885,24.711250,3.16
1306715,0.850647,23.6740,21.1835,43.2378,43.6666,-22.0543,-22.4832,20.312802,0.92
1653189,0.825913,26.7268,17.8049,43.2863,43.5877,-25.4814,-25.7829,23.469229,2.01
1341132,0.294342,18.6253,24.3606,43.3317,40.9078,-18.9711,-16.5472,17.473003,2.06
1781018,0.342497,18.8780,24.4152,43.4610,41.2891,-19.0458,-16.8739,17.541850,0.73
1916207,0.408406,22.1371,21.2588,43.5688,41.7378,-22.3100,-20.4790,20.548258,1.02
1292650,0.490377,22.2044,21.5830,43.6217,42.2106,-22.0386,-20.6276,20.298325,0.93
1330289,0.663365,24.8192,19.4002,43.5344,43.0043,-24.1342,-23.6041,22.228410,42.53
